paper_id,title,year,venue,arxiv_id,doi,primary_url,citations,citation_source,citation_snapshot_date,scope_relation,screening_status,threshold_rule,cutoff,semantic_scholar_id
mao2025agentsafe,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,2025,arXiv,2503.04392,10.48550/arXiv.2503.04392,https://arxiv.org/abs/2503.04392,42,Semantic Scholar Graph API,2026-08-06,core_security,canonical_structured_corpus,citationCount > 10; canonical corpus members only,2026-07-01,a5e0b705c5346e6b3018050c7a3b851b5efc5258
juneja2025magpie,MAGPIE: A Benchmark for Multi-Agent Contextual Privacy Evaluation,2025,NeurIPS Responsible Foundation Models Workshop,2510.15186,,https://nips.cc/virtual/2025/workshop/127834,21,Semantic Scholar Graph API,2026-08-06,core_security,canonical_structured_corpus,citationCount > 10; canonical corpus members only,2026-07-01,c1d91bbc06d958cb321600b04d4b29ada75ffbc3
chen2025medsentry,MedSentry: Understanding and Mitigating Safety Risks in Medical LLM Multi-Agent Systems,2025,arXiv,2505.20824,10.48550/arXiv.2505.20824,https://arxiv.org/abs/2505.20824,12,Semantic Scholar Graph API,2026-08-06,core_security,canonical_structured_corpus,citationCount > 10; canonical corpus members only,2026-07-01,4dcd6a81197cb9dd78322d5bcfb83f9aeee3914e
