paper_id,title,decision,reason_code,reason,canonical_paper_id,reviewer,reviewed_at,source
arxiv_2605_08321,LLM Wardens: Mitigating Adversarial Persuasion with Third-Party Conversational Oversight,exclude,named_human_scope_exclusion,2026-08-21 named human classification: moved to screened_out. Named human classification found that the work does not meet the active MAS-security scope decision.,arxiv_2605_08321,expiol,2026-08-21,corpus/adjudication/manual_corpus_classification_2026-08-21.csv
arxiv_2606_15024,Resilient Consensus in Agentic AI,exclude,named_human_scope_exclusion,2026-08-21 named human classification: moved to screened_out. Named human classification found that the work does not meet the active MAS-security scope decision.,arxiv_2606_15024,expiol,2026-08-21,corpus/adjudication/manual_corpus_classification_2026-08-21.csv
doi_10_17605_osf_io_3fxqn,Infodeme: Structural Determinants of Misinformation Propagation in LLM Agent Societies,exclude,named_human_scope_exclusion,2026-08-21 named human classification: moved to screened_out. Named human classification found that the work does not meet the active MAS-security scope decision.,doi_10_17605_osf_io_3fxqn,expiol,2026-08-21,corpus/adjudication/manual_corpus_classification_2026-08-21.csv
doi_10_2139_ssrn_6253390,Market-Consistent and Secure Demand Response in Storage-Rich Integrated Energy Systems Under Uncertainty and Hybrid Cyberattacks: A Large Language Model-Guided Multi-Agent Deep Reinforcement Learning Approach,exclude,named_human_scope_exclusion,2026-08-21 named human classification: moved to screened_out. Named human classification found that the work does not meet the active MAS-security scope decision.,doi_10_2139_ssrn_6253390,expiol,2026-08-21,corpus/adjudication/manual_corpus_classification_2026-08-21.csv
doi_10_2139_ssrn_6884338,Cognitive Guardrails in Medical LLMs: Fusing Latent Routing with T-Adaptive Attention to Mitigate Aleatoric and Epistemic Uncertainty,exclude,named_human_scope_exclusion,2026-08-21 named human classification: moved to screened_out. Named human classification found that the work does not meet the active MAS-security scope decision.,doi_10_2139_ssrn_6884338,expiol,2026-08-21,corpus/adjudication/manual_corpus_classification_2026-08-21.csv
doi_10_2139_ssrn_6996678,Cognitive Guardrails in Medical LLMs: Fusing Latent Routing with T-Adaptive Attention to Mitigate Aleatoric and Epistemic Uncertainty,exclude,named_human_scope_exclusion,2026-08-21 named human classification: moved to screened_out. Named human classification found that the work does not meet the active MAS-security scope decision.,doi_10_2139_ssrn_6996678,expiol,2026-08-21,corpus/adjudication/manual_corpus_classification_2026-08-21.csv
doi_10_33767_osf_io_sjtp2_v1,The Spiral of Attention: How Disruptive Agents Centralize Multi-Agent AI Deliberation Networks,exclude,named_human_scope_exclusion,2026-08-21 named human classification: moved to screened_out. Named human classification found that the work does not meet the active MAS-security scope decision.,doi_10_33767_osf_io_sjtp2_v1,expiol,2026-08-21,corpus/adjudication/manual_corpus_classification_2026-08-21.csv
doi_10_5281_zenodo_20819298,Human-Aware Multi-Agent Orchestration Through Adversarial Cognitive Load Modeling,exclude,named_human_scope_exclusion,2026-08-21 named human classification: moved to screened_out. Named human classification found that the work does not meet the active MAS-security scope decision.,doi_10_5281_zenodo_20819298,expiol,2026-08-21,corpus/adjudication/manual_corpus_classification_2026-08-21.csv
tailor2025auditwhisper,Audit the Whisper: Detecting Steganographic Collusion in Multi-Agent LLMs,exclude,named_human_scope_exclusion,2026-08-21 named human classification: moved to screened_out. 这在说什么呢,tailor2025auditwhisper,expiol,2026-08-21,corpus/adjudication/manual_corpus_classification_2026-08-21.csv
